message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:40.000000000Z
Debug - SUPABASE_URL: https://ttjgkymrlnwjrianabbp.supabase.co,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612765466Z
Debug - SUPABASE_URL length: 40,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612772158Z
Debug - SUPABASE_KEY: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzd...,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612778575Z
Debug - SUPABASE_KEY length: 208,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612783222Z
Debug - SUPABASE_KEY ends with: ...12L9NeafVw,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612787734Z
Debug - SUPABASE_KEY has leading/trailing whitespace: False,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612792393Z
Debug - SUPABASE_URL has leading/trailing whitespace: False,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612799231Z
Debug - Attempting to create Supabase client...,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612803514Z
Debug - Supabase client created successfully,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612807663Z
Debug - Testing Supabase client with a simple query...,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.612811668Z
"Debug - Supabase client test query failed: {'code': 'PGRST205', 'details': None, 'hint': None, 'message': ""Could not find the table 'public.test' in the schema cache""}","{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.613913654Z
Debug - Error type: APIError,"{""level"":""info""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.613920158Z
INFO:     Started server process [4],"{""level"":""error""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.991443996Z
INFO:     Waiting for application startup.,"{""level"":""error""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.991449995Z
INFO:     Application startup complete.,"{""level"":""error""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.995229475Z
INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit),"{""level"":""error""}","{""project"":""619931b1-971a-4fed-9a70-d0a540735351"",""environment"":""e9b0cd44-f2a9-4524-8558-b1b197172f96"",""service"":""e69aee4a-bf41-4137-93d7-91791adbe98f"",""deployment"":""0cd6df90-dc9f-42bb-bf3d-e8bc244f3575"",""replica"":""b64998e4-597c-4194-8317-43a54ecdbbd6""}",2025-09-24T10:52:41.995233609Z